topic_id,macro_topic,macro_topic_name,source,subgroup,final_merge_group_id,micro_topic_id,display_label,topic_name_original,topic_label_refined,overall_summary,phase_1_years,phase_2_years,phase_3_years,phase_4_years,phase_1_summary,phase_2_summary,phase_3_summary,phase_4_summary,evolution_pattern,evidence_note,paper_status,selection_bucket,noncorporate_inclusion_reason,best_matched_corporate_group_id,best_dyad,topic_size,group_size,active_year_count,active_year_min,active_year_max,overall_keywords
academic_T3::academic_T3_S202,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S202,102,Evolution of Sustainable and Ecological Marketing Strategy,202_ecomarketing_marketing_enterprises_globalization,Evolution of Sustainable and Ecological Marketing Strategy,"The micro-topic tracks the evolution of marketing concepts, moving from early focuses on global CSR and sustainability principles to increasingly specific applications in ecological marketing, territorial development, and enhancing enterprise competitiveness within a globalized context.",2012-2014,2015-2019,2020-2022,2023-2025,Initial focus on establishing the theoretical groundwork of socially responsible and sustainable marketing within a globalized business context.,"Narrowing the scope to specific business contexts, such as SMEs and strategic enterprise development, while maintaining the core theme of sustainability.","Deepening the conceptualization, moving into environmental marketing theory, circular economy, and the integration of social/ecological principles into broader business strategy.","Focusing on the practical implementation of ecological marketing strategies to drive enterprise competitiveness and address specific regional/international market realities (e.g., Ukraine).",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,65,1,10,2012,2025,"[""ecomarketing"", ""marketing"", ""enterprises"", ""globalization"", ""інтегрованих"", ""ісмsmall"", ""goods"", ""соціальноі"", ""principles"", ""promotion""]"
academic_T3::academic_T3_S129,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S129,75,Evolution of the Water-Energy-Food Nexus Research Focus,135_hydropower_wefs_wef_nexuses,Evolution of the Water-Energy-Food Nexus Research Focus,"The micro-topic evolved from an initial focus on disequilibria in water-energy-food systems to a highly integrated, methodological focus on the broader WEFEN/WEFE nexus, increasingly incorporating sustainability goals, policy frameworks, and advanced analytical techniques.",2008-2010,2011-2017,2018-2023,2024-2025,"Initial framing of the nexus around core disequilibria in water-energy-food systems, often contextualized by dams and irrigation needs.","Maturation of the nexus concept, moving towards policy integration, global goal alignment (SDGs, UNFCCC), and analyzing trade-offs within renewable energy expansion.","Deepening the nexus analysis through quantitative methods, focusing on specific resource management challenges like groundwater, and aligning strategies with major policy agendas (e.g., EU targets).","Shift towards methodological rigor, emphasizing systematic reviews, scientometrics, and expanding the scope to include the ecosystem dimension (WEFEN/WEFE) and multidisciplinary decision analysis.",Conceptualization -> Policy Integration -> Quantitative Deepening -> Methodological Expansion,"The evolution shows a clear progression from defining the core WEF problem to applying increasingly complex, multi-dimensional analytical frameworks (WEFEN/WEFE) over time.",aligned,included_noncorporate,manual_override_from_excluded_review,corporate_T3_S000,,118,1,13,2008,2025,"[""hydropower"", ""wefs"", ""wef"", ""nexuses"", ""sectors"", ""wefe"", ""waterfood"", ""ef2w"", ""water"", ""irrigation""]"
academic_T3::academic_T3_S134,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S134,74,FinTech's Role in Sustainable Finance and Ecosystem Transformation,134_fintech_fintechs_findingsfintech_blockchain,FinTech's Role in Sustainable Finance and Ecosystem Transformation,"The micro-topic tracks the evolution of FinTech's role, shifting from initial digital transformation discussions in banking to a deep focus on its impact on sustainability, financial inclusion, and the integration of advanced technologies like blockchain within the broader financial ecosystem.",2012,2020,2021-2023,2024-2025,The initial phase focused narrowly on the digital transformation of traditional banking institutions driven by the emergence of fintech.,"The focus broadened to examine the application of FinTech solutions across various aspects of finance, specifically intersecting with sustainability and regional contexts.","This phase became highly empirical, investigating the mediating roles of FinTech adoption on sustainable business performance, financial inclusivity, and organizational sustainability across different economic contexts.","The most recent phase solidified the focus on advanced integration, specifically examining how FinTech, alongside technologies like blockchain, drives sustainable development goals (SDGs), green finance, and the necessity of robust ESG frameworks within the financial ecosystem.",Linear progression from Digitalization -> Sustainability Application -> Empirical Impact Assessment -> Advanced Ecosystem Integration (Blockchain/ESG),"The progression shows a clear thematic deepening, moving from broad industry disruption (2012) to highly specific, integrated sustainability outcomes (2025).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,118,1,7,2012,2025,"[""fintech"", ""fintechs"", ""findingsfintech"", ""blockchain"", ""ecosystem"", ""transformative"", ""fin"", ""fy17"", ""banking"", ""crowdlending""]"
academic_T3::academic_T3_PG18,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_PG18,28,Food Waste Management Evolution,28_purposefood_wasting_wastage_composting,Food Waste Management Evolution,"The micro-topic evolved from early, context-specific views on informal waste collection and local recycling systems to a highly focused, quantitative examination of household behavior, food surplus management from retail, and finally, to advanced systemic approaches involving technological interventions, zero-waste innovation, and consumer psychology.",2004-2008,2011-2015,2016-2019,2020-2025,"Initial focus on the socio-economic context of waste, ranging from informal collection in slums to early evaluations of local organic recycling systems.","The focus broadened to systemic issues, including landfill gas reduction, policy debates on social inclusion, and early examinations of food waste attitudes within housing contexts.","A strong shift towards quantitative modeling, specifically analyzing the impact of retail infrastructure (grocery density) and deep dives into household behavior and its link to urban waste sustainability.","The most recent phase is characterized by a high degree of specialization, focusing on large-scale value chain analysis (FLW), advanced technological solutions (apps, smart fridges), and consumer psychology models to drive zero-waste outcomes.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S002,academic__corporate,631,2,18,2004,2025,"[""purposefood"", ""wasting"", ""wastage"", ""composting"", ""hunger"", ""leftovers"", ""gleaning"", ""leftover"", ""surplus"", ""households""]"
academic_T3::academic_T3_S167,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S167,88,Green HPLC and Chromatographic Techniques,167_hplc_chromatography_chromatographic_fluorimetric,Green HPLC and Chromatographic Techniques,"The micro-topic tracks the evolution of applying HPLC and chromatography to achieve greener analytical methods, initially focusing on exergetic comparisons and green chemistry principles, and progressively moving towards rigorous sustainability assessment and bioanalytical application.",2009-2010,2014-2019,2020-2022,2023-2025,"Early focus on establishing the green angle, comparing separation techniques (HPLC vs SFC) through exergetic lenses and emphasizing general green analytical chemistry principles.","A period of methodological refinement where the focus solidified on making conventional HPLC greener, driven by concerns over solvent use, chemical waste, and incorporating concepts like microextraction and chemometrics.","Increased density around the core theme of minimizing environmental impact in chromatography, specifically addressing solvent consumption and applying green chemistry principles to various sample types like phospholipids.","The most advanced phase, characterized by the rigorous validation of green HPLC methods for bioanalytical quantification, heavily utilizing advanced sustainability assessment tools (like fluorimetric metrics) to quantify environmental friendliness.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S010,academic__corporate,88,1,13,2009,2025,"[""hplc"", ""chromatography"", ""chromatographic"", ""fluorimetric"", ""solvents"", ""acetonitrile"", ""bioanalytical"", ""spectrophotometric"", ""spectrophotometry"", ""greener""]"
academic_T3::academic_T3_PG15,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_PG15,21,HEI Sustainability Assessment and ESD Integration,21_heis_sdgs_universities_hesd,HEI Sustainability Assessment and ESD Integration,"The micro-topic tracks the evolution of sustainability concepts within Higher Education Institutions (HEIs), moving from early conceptual debates on unsustainability and institutionalizing change to a highly focused, metric-driven assessment of SDG integration and ESD implementation across various global contexts.",2000-2004,2005-2011,2012-2018,2019-2025,"Early conceptualization and methodological groundwork: Initial focus on defining sustainability challenges, integrating concepts into curricula, and applying early standards/metrics.","Framework development and implementation challenges: Shift towards practical implementation barriers, developing comprehensive frameworks, and refining sustainability indicators.","ESD and Indicator Refinement: Strong focus on Education for Sustainable Development (ESD) integration, coupled with critiques and development of advanced sustainability indices and metrics.","SDG Alignment and Metric Assessment: Dominant focus on aligning HEIs with the Sustainable Development Goals (SDGs), utilizing advanced metrics (like Greenmetrics) for institutional and campus-level assessment and benchmarking.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,954,4,26,2000,2025,"[""heis"", ""sdgs"", ""universities"", ""hesd"", ""greenmetric"", ""institutional"", ""campuses"", ""universidad"", ""initiatives"", ""academic""]"
academic_T3::academic_T3_PG16,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_PG16,22,Household Behavioral Determinants of Prosumer Adoption,22_prosumers_willingness_households_behavioural,Household Behavioral Determinants of Prosumer Adoption,"The micro-topic tracks the evolution of research focusing on how household behavior and willingness influence the adoption of sustainable energy practices, transitioning from general energy consumption patterns to specific focuses on renewable energy technologies like photovoltaics and microgrids.",2001-2007,2009-2013,2014-2018,2019-2025,"Early focus on general household energy consumption, comfort, and initial willingness to adopt sustainable patterns, integrating social and geographical contexts.","Shift towards specific environmental impacts (GHG, emissions) and the role of lifestyle/demographics in consumption, alongside early modeling efforts.","Intensification on modeling and behavioral theories, specifically linking attitudes to energy efficiency and the emergence of PV adoption as a key focus.","Dominance of behavioral modeling (TPB, UTAUT) applied to specific adoption contexts, primarily renewable energy (PV) and waste management, with a strong emphasis on prosumer roles in decarbonization.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,554,2,23,2001,2025,"[""prosumers"", ""willingness"", ""households"", ""behavioural"", ""behavioral"", ""adopters"", ""photovoltaics"", ""renewables"", ""photovoltaic"", ""behaviour""]"
academic_T3::academic_T3_S160,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S160,86,Hydrogen and Biohydrogen in Decarbonization,160_hydrogenpowered_emissions_biohydrogen_hydrogen,Hydrogen and Biohydrogen in Decarbonization,"The micro-topic tracks the evolution of hydrogen and biohydrogen as a key vector for decarbonizing energy systems, particularly transportation, moving from early conceptual discussions of potential to detailed assessments of production pathways, technological integration, and regulatory frameworks.",2003-2005,2008-2013,2015-2021,2022-2025,"Initial focus on establishing hydrogen as a potential solution for transport emissions, with early attention given to the challenges of implementation and the potential of biomass-derived hydrogen.","The discussion broadens to encompass the entire hydrogen economy, focusing on the promise versus the limitations of current production methods (e.g., fossil fuel reliance) and the need for sustainable inputs.","A deepening focus on the sustainability of hydrogen production, contrasting various pathways (biohydrogen vs. others) and linking the technology directly to achieving broader GHG reduction and net-zero targets, driven by policy.","The focus matures into a comprehensive review of the state of the technology, heavily emphasizing the practical application in transportation, the need for standardization, and the technical viability of specific fuel cell systems.",Conceptualization -> Sustainability Assessment -> Policy Integration -> Technological Maturation,"The evolution shows a clear progression from identifying hydrogen as a potential solution (early years) to rigorously evaluating its lifecycle impacts, production sustainability, and specific technological implementations (later years).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,96,1,18,2003,2025,"[""hydrogenpowered"", ""emissions"", ""biohydrogen"", ""hydrogen"", ""fuels"", ""fuel"", ""hydrogenassociation"", ""h2"", ""hydrogenâ"", ""diesel""]"
academic_T3::academic_T3_S079,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S079,46,Industry 5.0 Manufacturing Digitalization and IoT,79_industry5_manufacturing_digitalization_iot,Industry 5.0 Manufacturing Digitalization and IoT,"The micro-topic traces the evolution of manufacturing paradigms from early ubiquitous computing concepts through the lens of Industry 4.0, culminating in a strong focus on Industry 5.0 and the integration of sustainability, human-centricity, and advanced digital technologies like IoT and mechatronics.",2011,2014,2018-2022,2023-2025,"Initial focus on proposing the ubiquitous factory (u-Factory) paradigm as a response to modern industrial demands, emphasizing Information transparency and sustainable manufacturing concepts.","Shift towards specific technological integrations within manufacturing lifecycle management, focusing on the application of PEIDs and RFID within PLM contexts.","A sustained period heavily focused on the intersection of Industry 4.0/digitalization and sustainability, examining the triple bottom line, risks, and the role of digital technologies in achieving sustainable outcomes.","The evolution culminates in the emergence of Industry 5.0, where the focus sharpens on integrating human-centricity, advanced network design, and resilience into digital manufacturing paradigms to meet stringent sustainability targets.",Conceptualization -> Technological Integration -> Sustainability Integration (I4.0) -> Human-Centric/Advanced Paradigm (I5.0),"The progression shows a clear trajectory from foundational concepts (u-Factory) through the implementation phase (I4.0/RFID) to the advanced, human-centric sustainability focus (I5.0).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S009,academic__corporate,211,1,10,2011,2025,"[""industry5"", ""manufacturing"", ""digitalization"", ""iot"", ""i4t"", ""industrial"", ""mechatronics"", ""technological"", ""industrialisation"", ""analytics""]"
academic_T3::academic_T3_S217,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S217,108,Islamic Finance Instruments for SDGs,217_takaful_sdgs_sukuk_microfinance,Islamic Finance Instruments for SDGs,"The micro-topic tracks the evolution of integrating Islamic financial instruments (Sukuk, Takaful, Microfinance) with the Sustainable Development Goals (SDGs) across various stages of conceptualization, application, and refinement.",2017-2018,2019-2021,2022-2023,2024-2025,"Initial focus on applying Islamic ethics to financial stability, addressing economic crises, and aligning Islamic finance with the SDGs through microfinance.","Conceptual development phase, moving towards integrated frameworks, ecosystem building, and applying Islamic finance to environmental sustainability and SDGs through specific instruments.","Intensification on specific instruments, particularly Sukuk (Green/SRI), and analyzing the intersection of Islamic finance with global sustainability targets and ESG frameworks.","Maturity phase characterized by rich literature on the integration of Takaful, Sukuk, and Microfinance into achieving SDGs, including regulatory and regional case studies.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,57,1,9,2017,2025,"[""takaful"", ""sdgs"", ""sukuk"", ""microfinance"", ""islamic"", ""sharia"", ""shariah"", ""zakat"", ""isf"", ""riba""]"
academic_T3::academic_T3_S208,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S208,104,Life Cycle Assessment and GHG Footprinting Evolution,208_lca_emissions_ghg_ghgs,Life Cycle Assessment and GHG Footprinting Evolution,"The micro-topic tracks the evolution of applying Life Cycle Assessment (LCA) and Greenhouse Gas (GHG) accounting to quantify carbon footprints across various industrial and systemic contexts, moving from initial practical applications to highly technical, broad methodological reviews and advanced computational modeling.",2008-2012,2013-2017,2020-2023,2024-2025,"Initial phase characterized by applying GHG/carbon footprint assessment tools to specific, contained environmental remediation projects and industrial case studies (e.g., chemical plants, waste oil management), often referencing early standards like IPCC.","A phase focused on methodological critique and refinement, involving comparative reviews of footprinting methodologies, the development of specific allocation models (like MEIO), and applying LCA/CF to complex systems like supply chains.","The focus broadens into advanced, specialized applications, including quantifying emissions from intangible assets (R&D), applying LCA to national economic layers, and using these metrics to drive broader decarbonization strategies across major industries.","The most recent phase is characterized by high application density, focusing on advanced, real-time monitoring, developing novel computational models (PCF), and applying these frameworks to highly specific, complex industrial supply chains (e.g., automotive, textiles), indicating a move toward automated, granular tracking.",Methodological Application -> Methodological Critique/Refinement -> Broad Systemic Application -> Advanced Computational/Real-Time Tracking,"The progression shows a clear shift from simple application to deep methodological scrutiny, and finally to high-tech, granular industrial implementation.",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,59,1,13,2008,2025,"[""lca"", ""emissions"", ""ghg"", ""ghgs"", ""carbon"", ""co2e"", ""footprint"", ""emission"", ""co2"", ""footprinting""]"
academic_T3::academic_T3_S118,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S118,64,MNCs and SDGs Engagement,118_mnes_sdgs_mncs_multinationals,MNCs and SDGs Engagement,"The topic tracks the evolving academic focus on the role of Multinational Corporations (MNCs/MNEs) in relation to the Sustainable Development Goals (SDGs) across nearly two decades, moving from early advocacy to detailed implementation analysis and scrutiny of greenwashing.",2006-2008,2016-2019,2020-2022,2023-2025,"Early conceptualization, focusing on MNCs as catalysts for development and the initial incorporation of related goals (MDGs/SDGs) into corporate strategy.","Maturation of the discourse, shifting towards multi-stakeholder governance, accountability, and the practical implementation of SDGs by MNCs in specific regional contexts.","Deep dive into implementation mechanisms, focusing heavily on CSR integration, strategy alignment, and critically examining issues like SDG washing and externalities.","Refinement and specialization, concentrating on the mechanisms of MNC influence, organizational factors, and specific SDG target alignments within global contexts.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,132,1,12,2006,2025,"[""mnes"", ""sdgs"", ""mncs"", ""multinationals"", ""sdg"", ""mne"", ""sdgwashing"", ""multinational"", ""brics"", ""stakeholder""]"
academic_T3::academic_T3_S226,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S226,112,Multi-Criteria Decision Making for Sustainable Material Selection,226_ahp_materials_topsis_subcriteria,Multi-Criteria Decision Making for Sustainable Material Selection,"The micro-topic tracks the evolution of applying structured decision-making methods (like AHP and TOPSIS) to the selection and evaluation of sustainable building materials across various technical domains, from initial design criteria to specific structural and environmental applications.",2005-2008,2012-2013,2017-2020,2021-2025,"Early focus on applying multi-criteria ranking techniques to residential housing sustainability and balancing construction needs with environmental impact, including geotechnical considerations.","Systematic development of material selection frameworks, heavily influenced by specific compliance standards like LEED, utilizing AHP and TOPSIS.","Broadening the scope to include specific material types (insulation, concrete), integrating advanced design tools like BIM, and exploring the methodological application of MCDM techniques.","Maturation into a highly technical application phase, characterized by the consistent application of AHP/TOPSIS to complex inputs such as geotechnical/structural aspects, and later pivoting towards specialized environmental contexts like stormwater management and stakeholder analysis.",Conceptual Application -> Standard Compliance -> Methodological Integration -> Domain Specialization,"The evolution shows a clear progression from general sustainability criteria application to highly specialized, integrated technical assessments using the core MCDM tools.",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S009,academic__corporate,53,1,13,2005,2025,"[""ahp"", ""materials"", ""topsis"", ""subcriteria"", ""material"", ""criteria"", ""insulating"", ""timber"", ""selection"", ""building""]"
academic_T3::academic_T3_S066,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S066,38,Pandemic Impact on Consumer Behavior and Sustainability,66_outbreak_pandemic_affected_consumers,Pandemic Impact on Consumer Behavior and Sustainability,"This micro-topic tracks the evolving academic discourse on how the COVID-19 pandemic and related outbreaks have affected consumer behavior, with a strong underlying thread of sustainability concerns, shifting from immediate crisis response to long-term adaptation.",2020,2021,2022-2023,2024-2025,"Initial focus on the immediate impact of the COVID-19 outbreak and pandemic on consumer behavior, heavily intertwined with the rapid adoption of e-commerce and the initial push toward sustainable consumption paradigms.","Focus narrows slightly to the direct influence of lockdowns and the pandemic on consumer attitudes and behaviors, specifically examining the response to perceived threats and sustainable practices.","The discourse stabilizes around the sustained impact on sustainable consumption attitudes and behaviors, linking pandemic effects to broader environmental and social consciousness across various consumption domains.","The focus broadens to long-term, evolving shifts, incorporating industry analysis (e.g., McKinsey), economic factors like inflation, and the sustained adaptation of retail and consumer patterns post-crisis.",Crisis Response -> Behavioral Adaptation -> Sustainability Integration -> Long-Term Systemic Shift,"The evidence shows a clear progression from immediate crisis reaction (2020) to sustained integration of sustainability concerns (2022-2023), culminating in macro-level, long-term industry and economic analysis (2024-2025).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S002,academic__corporate,258,1,6,2020,2025,"[""outbreak"", ""pandemic"", ""affected"", ""consumers"", ""lockdown"", ""pandemics"", ""consumer"", ""lockdowns"", ""distancing"", ""2021""]"
academic_T3::academic_T3_S151,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S151,82,Perovskite PV Evolution: From Sustainability Concerns to Material Science Hurdles,151_photovoltaic_photovoltaics_perovskites_pv,Perovskite PV Evolution: From Sustainability Concerns to Material Science Hurdles,"The micro-topic traces the evolution of PV research from an initial focus on broad sustainability and environmental impact assessments across various PV types, through dedicated explorations of material science advancements like perovskites, to a highly focused contemporary challenge on improving perovskite stability and mitigating toxicity for commercial viability.",2010-2014,2016-2019,2020-2023,2024-2025,"Early focus on the broad sustainability and environmental footprint of PV technology, covering supply chain transparency, lifecycle analysis, and material sourcing challenges across different PV generations.","A transitional phase where the focus begins to narrow, with a significant emergence of perovskite research alongside continued attention to PV module integration challenges, durability, and ecodesign principles.","Intensification of the focus on the intersection of PV technology and its lifecycle impacts, specifically addressing EHS concerns, and a strong push into the material science of advanced cell architectures, including perovskites.","The most recent phase is dominated by the critical material science challenges of perovskite PVs, specifically targeting the enhancement of stability, mitigating lead toxicity, and integrating circular economy principles into cell design.",Broad Sustainability -> Material Emergence/Integration -> Lifecycle/Advanced Materials Focus -> Perovskite Commercialization Hurdles,The evolution shows a clear trajectory from macro-level sustainability concerns (2010-2014) to a micro-level focus on perovskite material science and its associated toxicity/stability issues (2024-2025).,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S009,academic__corporate,102,1,14,2010,2025,"[""photovoltaic"", ""photovoltaics"", ""perovskites"", ""pv"", ""perovskite"", ""semiconductor"", ""semiconductors"", ""heterojunction"", ""solar"", ""solardesign""]"
academic_T3::academic_T3_S090,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S090,52,Ruminant Feed Utilization and GHG Mitigation,90_ruminants_feedstuffs_digestibility_silage,Ruminant Feed Utilization and GHG Mitigation,"The micro-topic tracks the evolution of research into improving ruminant nutrition and sustainability by focusing on feedstuff digestibility, silage quality, and methane mitigation through various feed additives and byproducts.",2000-2009,2013-2017,2018-2022,2023-2025,Early focus on foundational aspects: evaluating the digestibility of processed food waste for swine and experimentally testing silage fermentation characteristics in ruminants.,"A transitional phase showing diversification, initially touching on poultry safety before settling on the utilization of various animal and agricultural byproducts to improve feed quality.","Intense focus on valorizing residues and wastes, specifically investigating phytochemicals like tannins and using microbial/chemical treatments to enhance silage quality and nutrient density.","The most recent phase shows a highly focused, comprehensive approach on practical applications: using targeted supplements (probiotics, extracts) and specific fruit/vegetable byproducts to maximize digestibility and minimize GHG emissions in livestock.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S010,academic__corporate,181,1,14,2000,2025,"[""ruminants"", ""feedstuffs"", ""digestibility"", ""silage"", ""rumen"", ""livestock"", ""ruminal"", ""ruminant"", ""forage"", ""methane""]"
academic_T3::academic_T3_S141,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S141,76,Socio-Economic and Environmental Sustainability Integration,141_sustentabilidade_ambientais_sostenibilidad_economico,Socio-Economic and Environmental Sustainability Integration,"The micro-topic evolved from early conceptualizations of sustainability management and competitiveness in Argentinean contexts to a highly advanced, multidisciplinary focus on integrating innovation, economic viability, and societal responsibility across various sectors, culminating in a focus on regulatory compliance and broad application.",2007-2010,2012-2015,2017-2021,2022-2025,"Initial phase focused on establishing the concepts of sustainability management, competitiveness, and CSR within Latin American contexts, identifying implementation gaps.","The focus broadened to include the societal assimilation of environmental norms, the strategic link between sustainability and economic viability (lucrativity), and the emergence of sustainability reporting mechanisms.","This phase became highly methodological and technical, emphasizing the role of innovation capacity, governance, and specific frameworks (like value chain management or investment strategies) in achieving socio-ecological sustainability.","The later phase broadened again, shifting towards collaborative efforts (alliances), comprehensive sectorial application (industry, agriculture), and the increasing scrutiny of regulatory compliance and reporting standards.",Conceptualization -> Integration/Viability -> Methodological Advancement -> Broad Application/Compliance,"The evidence shows a clear progression from foundational management concepts to advanced, systemic, and regulatory concerns.",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S000,academic__corporate,110,1,15,2007,2025,"[""sustentabilidade"", ""ambientais"", ""sostenibilidad"", ""economico"", ""capacidade"", ""sustentavel"", ""inovacao"", ""ambiente"", ""responsabilidade"", ""revisao""]"
academic_T3::academic_T3_S135,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S135,78,Solar and Advanced Drying System Development,143_drying_dehydrator_dehydrators_dryers,Solar and Advanced Drying System Development,"The micro-topic tracks the evolution of drying technology research, moving from initial small-scale biomass integration to advanced thermodynamic modeling, material science enhancements, and the integration of smart/hybrid systems.",2013-2015,2016-2019,2020-2022,2023-2025,"Early focus on practical application, specifically designing and assessing combined solar/biomass dryers and applying initial thermodynamic metrics like exergy.","Focus shifts to experimental validation and process optimization, including dryer configuration enhancements, low-cost solutions, and detailed parameter evaluation (moisture, efficiency).","Deep dive into physico-chemical mechanisms and advanced sustainability assessment, utilizing concepts like nutrient preservation, optical properties, and rigorous exergy analysis.","Modernization and optimization phase, characterized by integrating advanced technologies (IoT, nanomaterials, PCMs) and comprehensive performance analysis (4E+Q) across various dryer types.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S009,academic__corporate,108,1,11,2013,2025,"[""drying"", ""dehydrator"", ""dehydrators"", ""dryers"", ""dryer"", ""solar"", ""moisture"", ""convection"", ""dried"", ""convective""]"
academic_T3::academic_T3_S142,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_S142,77,Sustainable Acoustic Composites Development,142_soundproofing_acoustics_acoustical_composites,Sustainable Acoustic Composites Development,The research trajectory shows a clear evolution from early explorations of specialized absorption mechanisms to a mature focus on developing and validating high-performance composites derived from diverse agricultural and textile waste streams for soundproofing and insulation.,2006-2011,2014-2018,2019-2022,2023-2025,"Early focus on mechanism and initial sustainable material substitution, specifically looking at microperforated structures and bamboo.","Diversification into specific waste streams like rice hulls (ceramics), Kenaf, and cellulose/rubber, focusing on material innovation within construction contexts.","Intensification of bio-based material testing, comparing natural fibers (chicken feathers, jute, etc.) against benchmarks and exploring multilayer biocomposites.","High-volume focus on validation and optimization, heavily utilizing agricultural residues (bagasse, rice straw, coir) and textile waste to create high-performing, quantified soundproofing composites.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S010,academic__corporate,108,1,13,2006,2025,"[""soundproofing"", ""acoustics"", ""acoustical"", ""composites"", ""insulation"", ""absorbers"", ""aeroacoustics"", ""coir"", ""bagasse"", ""jute""]"
academic_T3::academic_T3_PG07,T3,"Sustainable products, services and consumption",academic,academic_T3,academic_T3_PG07,9,Sustainable Catalysis and Green Chemistry Evolution,9_nanocatalysts_iupac_catalysts_chemicals,Sustainable Catalysis and Green Chemistry Evolution,"The micro-topic traces the evolution of sustainable chemical processes, moving from broad conceptualizations of green chemistry and CO2 utilization to highly specific applications involving advanced nanocatalysts, electrocatalysis, and green synthesis methods using biological entities.",2000-2004,2005-2009,2010-2018,2019-2025,"Initial phase focused on establishing the conceptual framework of green chemistry, sustainability, and the utilization of supercritical fluids and CO2 in chemical processes.","Transition into practical application, focusing on developing sustainable catalytic methodologies, exploring alternative reaction media, and beginning to address the hazards associated with chemical processes.","Maturation of the field, characterized by a strong emphasis on process optimization, including microreactors, electrochemistry, and lifecycle assessment, while maintaining a focus on benign chemical design.","Advanced specialization, heavily emphasizing the role of nanocatalysts, photocatalysis, and the integration of green synthesis using biological entities (like algae) into sustainable chemical production.",Conceptualization -> Application/Hazard Mitigation -> Process Optimization/Advanced Methods -> Material Specialization (Nanocatalysis/Bio-synthesis),The evidence shows a clear progression from broad sustainability concerns (2000-2004) to the detailed focus on advanced materials and synthesis techniques (2019-2025).,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T3_S010,academic__corporate,1272,4,26,2000,2025,"[""nanocatalysts"", ""iupac"", ""catalysts"", ""chemicals"", ""catalysis"", ""solvents"", ""syntheses"", ""photocatalysts"", ""chemical"", ""chemists""]"
